match_id,date,Team_1,Team_2,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,season,superover_winner,result_type,method,event_match_type,toss_win_match
335982,2008-04-18,Kolkata Knight Riders,Royal Challengers Bengaluru,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bengaluru,2008,,,,1,False
335983,2008-04-19,Chennai Super Kings,Punjab Kings,MEK Hussey,Chennai Super Kings,33 runs,Chennai Super Kings,bat,I. S. Bindra Punjab Cricket Association Stadium,Mohali,2008,,,,2,True
335984,2008-04-19,Rajasthan Royals,Delhi Capitals,MF Maharoof,Delhi Capitals,9 wickets,Rajasthan Royals,bat,Arun Jaitley Stadium,Delhi,2008,,,,3,False
335985,2008-04-20,Mumbai Indians,Royal Challengers Bengaluru,MV Boucher,Royal Challengers Bengaluru,5 wickets,Mumbai Indians,bat,Wankhede Stadium,Mumbai,2008,,,,5,False
335986,2008-04-20,Deccan Chargers,Kolkata Knight Riders,DJ Hussey,Kolkata Knight Riders,5 wickets,Deccan Chargers,bat,Eden Gardens,Kolkata,2008,,,,4,False
335987,2008-04-21,Punjab Kings,Rajasthan Royals,SR Watson,Rajasthan Royals,6 wickets,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,2008,,,,6,False
335988,2008-04-22,Deccan Chargers,Delhi Capitals,V Sehwag,Delhi Capitals,9 wickets,Deccan Chargers,bat,Rajiv Gandhi International Stadium,Hyderabad,2008,,,,7,False
335989,2008-04-23,Chennai Super Kings,Mumbai Indians,ML Hayden,Chennai Super Kings,6 runs,Mumbai Indians,field,MA Chidambaram Stadium,Chennai,2008,,,,8,False
335990,2008-04-24,Deccan Chargers,Rajasthan Royals,YK Pathan,Rajasthan Royals,3 wickets,Rajasthan Royals,field,Rajiv Gandhi International Stadium,Hyderabad,2008,,,,9,True
335991,2008-04-25,Punjab Kings,Mumbai Indians,KC Sangakkara,Punjab Kings,66 runs,Mumbai Indians,field,I. S. Bindra Punjab Cricket Association Stadium,Mohali,2008,,,,10,False
335992,2008-04-26,Royal Challengers Bengaluru,Rajasthan Royals,SR Watson,Rajasthan Royals,7 wickets,Rajasthan Royals,field,M Chinnaswamy Stadium,Bengaluru,2008,,,,12,True
335993,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,JDP Oram,Chennai Super Kings,9 wickets,Kolkata Knight Riders,bat,MA Chidambaram Stadium,Chennai,2008,,,,11,False
335994,2008-04-27,Mumbai Indians,Deccan Chargers,AC Gilchrist,Deccan Chargers,10 wickets,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai,2008,,,,14,True
335995,2008-04-27,Delhi Capitals,Punjab Kings,SM Katich,Punjab Kings,4 wickets,Delhi Capitals,bat,I. S. Bindra Punjab Cricket Association Stadium,Mohali,2008,,,,13,False
335996,2008-04-28,Chennai Super Kings,Royal Challengers Bengaluru,MS Dhoni,Chennai Super Kings,13 runs,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bengaluru,2008,,,,15,True
335997,2008-04-29,Kolkata Knight Riders,Mumbai Indians,ST Jayasuriya,Mumbai Indians,7 wickets,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,2008,,,,16,False
335998,2008-04-30,Delhi Capitals,Royal Challengers Bengaluru,GD McGrath,Delhi Capitals,10 runs,Royal Challengers Bengaluru,field,Arun Jaitley Stadium,Delhi,2008,,,,17,False
335999,2008-05-01,Deccan Chargers,Punjab Kings,SE Marsh,Punjab Kings,7 wickets,Punjab Kings,field,Rajiv Gandhi International Stadium,Hyderabad,2008,,,,19,True
336000,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,SA Asnodkar,Rajasthan Royals,45 runs,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,2008,,,,18,True
336001,2008-05-02,Chennai Super Kings,Delhi Capitals,V Sehwag,Delhi Capitals,8 wickets,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai,2008,,,,20,False
336003,2008-05-03,Punjab Kings,Kolkata Knight Riders,IK Pathan,Punjab Kings,9 runs,Punjab Kings,bat,I. S. Bindra Punjab Cricket Association Stadium,Mohali,2008,,,,22,True
336034,2008-05-03,Royal Challengers Bengaluru,Deccan Chargers,P Kumar,Royal Challengers Bengaluru,3 runs,Deccan Chargers,field,M Chinnaswamy Stadium,Bengaluru,2008,,,,21,False
336004,2008-05-04,Mumbai Indians,Delhi Capitals,SM Pollock,Mumbai Indians,29 runs,Delhi Capitals,field,Dr DY Patil Sports Academy,Mumbai,2008,,,,23,False
336005,2008-05-04,Chennai Super Kings,Rajasthan Royals,Sohail Tanvir,Rajasthan Royals,8 wickets,Chennai Super Kings,bat,Sawai Mansingh Stadium,Jaipur,2008,,,,24,False
336006,2008-05-05,Royal Challengers Bengaluru,Punjab Kings,S Sreesanth,Punjab Kings,6 wickets,Punjab Kings,field,M Chinnaswamy Stadium,Bengaluru,2008,,,,25,True
336007,2008-05-06,Chennai Super Kings,Deccan Chargers,AC Gilchrist,Deccan Chargers,7 wickets,Deccan Chargers,field,MA Chidambaram Stadium,Chennai,2008,,,,26,True
336008,2008-05-07,Rajasthan Royals,Mumbai Indians,A Nehra,Mumbai Indians,7 wickets,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai,2008,,,,27,True
336009,2008-05-08,Delhi Capitals,Chennai Super Kings,MS Dhoni,Chennai Super Kings,4 wickets,Chennai Super Kings,field,Arun Jaitley Stadium,Delhi,2008,,,,28,True
336010,2008-05-08,Kolkata Knight Riders,Royal Challengers Bengaluru,SC Ganguly,Kolkata Knight Riders,5 runs,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,2008,,,,29,True
336011,2008-05-09,Deccan Chargers,Rajasthan Royals,YK Pathan,Rajasthan Royals,8 wickets,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,2008,,,,30,True
336013,2008-05-10,Chennai Super Kings,Punjab Kings,L Balaji,Chennai Super Kings,18 runs,Punjab Kings,field,MA Chidambaram Stadium,Chennai,2008,,,,31,False
336014,2008-05-11,Kolkata Knight Riders,Deccan Chargers,SC Ganguly,Kolkata Knight Riders,23 runs,Kolkata Knight Riders,bat,Rajiv Gandhi International Stadium,Hyderabad,2008,,,,32,True
336015,2008-05-11,Delhi Capitals,Rajasthan Royals,SR Watson,Rajasthan Royals,3 wickets,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,2008,,,,33,True
336016,2008-05-12,Royal Challengers Bengaluru,Punjab Kings,SE Marsh,Punjab Kings,9 wickets,Royal Challengers Bengaluru,bat,I. S. Bindra Punjab Cricket Association Stadium,Mohali,2008,,,,34,False
336017,2008-05-13,Kolkata Knight Riders,Delhi Capitals,Shoaib Akhtar,Kolkata Knight Riders,23 runs,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,2008,,,,35,True
336018,2008-05-14,Chennai Super Kings,Mumbai Indians,ST Jayasuriya,Mumbai Indians,9 wickets,Mumbai Indians,field,Wankhede Stadium,Mumbai,2008,,,,36,True
336020,2008-05-15,Delhi Capitals,Deccan Chargers,A Mishra,Delhi Capitals,12 runs,Deccan Chargers,field,Arun Jaitley Stadium,Delhi,2008,,,,37,False
